,permit_id,issued,cost,lat,lng
164,2017029221,2017-05-16,216063.0,36.257973,-86.772275
165,2017055710,2017-08-25,30000.0,36.062189000000004,-86.73526
166,2017051653,2017-12-18,312000.0,36.217973,-86.80331899999999
167,2017005373,2017-03-24,194434.0,36.079178999999996,-86.616343
168,2017022002,2017-04-03,3900.0,36.137434000000006,-86.76801
169,2017029478,2017-07-12,7000.0,36.157542,-86.87387199999999
170,2017023322,2017-04-07,269121.0,36.196656,-86.780002
171,2017063599,2017-10-02,200000.0,36.185536,-86.739692
172,2017065583,2017-10-11,50000.0,36.274716999999995,-86.703676
173,2017054859,2017-08-22,3878.0,36.045865,-86.759265
174,2017033095,2017-06-16,8000.0,36.022008,-86.711913
175,2017058247,2017-09-21,146445.0,36.162905,-86.871505
176,2016066805,2017-01-26,211782.0,36.191291,-86.731626
177,2017077062,2017-12-19,84150.0,36.140018,-86.766518
178,2017028903,2017-05-16,268670.0,36.023281,-86.648916
179,2017047208,2017-08-03,221245.0,36.123578,-86.756089
180,2017009347,2017-02-08,30300.0,36.050853000000004,-86.717722
181,2017039942,2017-06-19,0.0,36.255805,-86.70958
182,2017033867,2017-05-23,35000.0,36.045503000000004,-86.73598100000001
183,2017034688,2017-10-19,12382448.0,36.151443,-86.801941
184,2016066448,2017-01-10,2500.0,36.169301000000004,-86.67440500000001
185,201618708,2017-02-14,316280.0,36.346555,-86.846661
186,2017006988,2017-01-30,26500.0,36.08064,-86.900336
187,2017069196,2017-10-26,80000.0,36.199428000000005,-86.766651
188,2017052027,2017-08-08,5000.0,36.049584,-86.711809
189,2017028986,2017-05-19,136870.0,36.159333000000004,-86.857649
190,2017053703,2017-08-31,311689.0,36.170394,-86.621161
191,2017054063,2017-08-17,5200.0,36.188275,-86.795622
192,2016037382,2017-03-14,25000.0,36.139406,-86.79262
193,2017002575,2017-01-13,218766.0,36.123793,-86.754048
194,2017016058,2017-03-10,285005.0,36.145346999999994,-86.789138
195,2017060250,2017-10-04,356087.0,36.102358,-86.814562
196,2017054225,2017-08-18,275542.0,36.101698999999996,-86.862369
197,2016072744,2017-01-19,8000.0,36.127821000000004,-86.791037
198,2017011283,2017-05-26,3000.0,36.164654,-86.778001
199,2016051786,2017-02-02,187562.0,36.123290000000004,-86.746259
200,2017029383,2017-05-23,15000.0,36.190178,-86.626474
201,2017081264,2017-12-21,20000.0,36.096641,-86.891374
202,2017062903,2017-09-27,9200.0,36.186716,-86.76306600000001
